file,n6_score,unique_n6_constants,keyword_hits,top_matches,suggested_grade
010-one-third-refuted.md,12,6,0,phi/tau=0.5; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma=12; sopfr=5,STRONG_CANDIDATE
203-molecular-structure.md,12,6,0,J2-tau=20; J2=24; n=6; sigma-phi=10; sigma-sopfr=7; sopfr=5,STRONG_CANDIDATE
348-cnn-repulsion-benefit.md,12,6,0,J2-tau=20; ln(4/3)=0.288; n=6; sigma*sopfr=60; sigma-phi=10; sopfr=5,STRONG_CANDIDATE
406-native-vs-converted-tension-dynamics.md,12,6,0,1/(sigma-phi)=0.1; ln(4/3)=0.288; phi/tau=0.5; sigma-phi=10; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
NGH-013-consciousness-stack-10-levels.md,12,3,1,n=6; sigma+mu=13; sigma-phi=10,MODERATE
H-EE-56-arrow-of-time.md,12,1,4,n=6,WEAK
205-catalyst-plasticity.md,11,7,0,J2=24; n=6; phi/tau=0.5; sigma*sopfr=60; sigma-phi=10; sigma-sopfr=7; sopfr=5,STRONG_CANDIDATE
H-CX-413-tension-free-energy-friston.md,11,7,0,1/e=0.368; n=6; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
371-correction-mitosis-synergy.md,11,5,0,16/27_Betz; J2=24; phi/tau=0.5; sigma-sopfr=7; sopfr=5,STRONG_CANDIDATE
H-CX-438-tension-gibbs-free-energy.md,11,5,0,1/e=0.368; J2-tau=20; ln(4/3)=0.288; sigma-phi=10; sopfr=5,STRONG_CANDIDATE
H-EE-118-egyptian-routing-hypotheses.md,11,5,2,n=6; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma-mu=11; sigma-phi=10,STRONG_CANDIDATE
346-consensus-identity-causation.md,11,4,0,1/(sigma-phi)=0.1; J2-tau=20; sigma-tau=8; sopfr=5,MODERATE
164-cyclic-universe-golden.md,11,3,0,1/e=0.368; phi/tau=0.5; sigma=12,MODERATE
H-SEDI-8-multiengine-consensus.md,11,3,0,sigma-phi=10; sigma-tau=8; sopfr=5,MODERATE
H-CX-142-thc-ph-simplification.md,10,7,0,1/(sigma-phi)=0.1; ln(4/3)=0.288; phi/tau=0.5; sigma-phi=10; sigma-tau=8; sigma^2=144; sopfr=5,STRONG_CANDIDATE
202-chemical-bonds.md,10,6,0,1/e=0.368; J2=24; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sopfr=5,STRONG_CANDIDATE
271-mitosis.md,10,5,0,n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
333-telepathy-compressed-structure.md,10,5,0,J2-tau=20; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma=12,STRONG_CANDIDATE
H-CHIP-24-1watt.md,10,5,1,J2=24; n=6; sigma-phi=10; sigma-sopfr=7; sigma=12,STRONG_CANDIDATE
H-CX-148-tension-resonance-telepathy.md,10,5,0,1/(sigma-phi)=0.1; ln(4/3)=0.288; phi/tau=0.5; sigma-phi=10; sopfr=5,STRONG_CANDIDATE
H-EE-9-phi-bottleneck-phi6simple-recovery.md,10,5,2,1/(sigma-phi)=0.1; ln(4/3)=0.288; n=6; phi/tau=0.5; phi^n=64,STRONG_CANDIDATE
190-time-dilation-golden.md,10,4,0,1/e=0.368; phi/tau=0.5; sigma-phi=10; sopfr=5,MODERATE
145-micro-macro-boundary.md,10,2,0,phi/tau=0.5; sigma-phi=10,WEAK
H-EE-96-task-dependent-limits.md,10,2,3,n=6; sopfr=5,WEAK
H-EE-98-scale-dependence.md,10,2,2,n=6; tau^2/sigma=4/3,WEAK
206-gibbs-genius.md,9,8,0,1/(sigma-phi)=0.1; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma+mu=13; sigma-phi=10; sopfr=5,STRONG_CANDIDATE
365-telepathy-quantum-entanglement.md,9,6,0,n=6; phi/tau=0.5; sigma+mu=13; sigma-phi=10; sigma/sigma-phi=1.2; sopfr=5,STRONG_CANDIDATE
208-telepathy-resonance.md,9,5,0,1/e=0.368; 16/27_Betz; ln(4/3)=0.288; phi/tau=0.5; sopfr=5,STRONG_CANDIDATE
H-CX-151-cross-layer-tension-signal.md,9,5,0,1/(sigma-phi)=0.1; ln(4/3)=0.288; n=6; phi/tau=0.5; sopfr=5,STRONG_CANDIDATE
126-lstm-golden-moe.md,9,4,0,1/(sigma-phi)=0.1; ln(4/3)=0.288; sigma-phi=10; sigma-tau=8,MODERATE
303-mitosis-anomaly-golden-zone.md,9,4,0,1/e=0.368; ln(4/3)=0.288; phi/tau=0.5; sopfr=5,MODERATE
H-EE-28-landauer-n6-generalization.md,9,1,3,n=6,WEAK
232-world-model-jepa.md,8,7,0,1/(sigma-phi)=0.1; 1/e=0.368; J2-tau=20; phi/tau=0.5; sigma*sopfr=60; sigma-phi=10; sigma-tau=8,STRONG_CANDIDATE
H-CX-68-precognition-conservation.md,8,7,0,1/(sigma-phi)=0.1; 16/27_Betz; ln(4/3)=0.288; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sopfr=5,STRONG_CANDIDATE
324-llm-hallucination-tension.md,8,6,0,16/27_Betz; J2-tau=20; n=6; sigma-phi=10; sigma-sopfr=7; sopfr=5,STRONG_CANDIDATE
200b-mdma-ecstasy.md,8,4,0,1/e=0.368; 16/27_Betz; ln(4/3)=0.288; phi/tau=0.5,MODERATE
H-AX-10-direction-topology-r-spectrum.md,8,4,1,J2-tau=20; n=6; sigma-phi=10; sopfr=5,MODERATE
H-CX-113-12-expert-moe.md,8,4,0,n=6; sigma+mu=13; sigma-phi=10; sigma=12,MODERATE
H-CX-146-thc-h1-loops.md,8,4,0,1/(sigma-phi)=0.1; ln(4/3)=0.288; phi/tau=0.5; sopfr=5,MODERATE
H-CX-69-topological-acceleration.md,8,4,0,1/(sigma-phi)=0.1; 16/27_Betz; ln(4/3)=0.288; phi/tau=0.5,MODERATE
140-algorithm-complexity.md,8,3,1,phi^n=64; sigma-phi=10; sigma-tau=8,MODERATE
335-purefield-llm-design.md,8,2,1,n=6; sigma=12,WEAK
H-CHIP-17-power-egyptian.md,8,1,3,n=6,WEAK
H-CX-188-six-double-uniqueness.md,8,1,2,n=6,WEAK
H-CX-145-thc-ai-empathy-shift.md,7,6,0,16/27_Betz; J2-tau=20; ln(4/3)=0.288; phi/tau=0.5; sigma-phi=10; sopfr=5,STRONG_CANDIDATE
H-CX-106-tension-telepathy.md,7,5,0,J2-tau=20; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sopfr=5,STRONG_CANDIDATE
165-why-point-seven.md,7,4,0,1/e=0.368; 16/27_Betz; ln(4/3)=0.288; phi/tau=0.5,MODERATE
207-neuralink.md,7,4,0,1/e=0.368; 16/27_Betz; phi/tau=0.5; sopfr=5,MODERATE
360-embodiment-purefield-control.md,7,4,0,16/27_Betz; phi/tau=0.5; sigma-sopfr=7; sopfr=5,MODERATE
H-CHIP-5-egyptian-router-hardware.md,7,4,1,J2-tau=20; n=6; sigma-phi=10; sopfr=5,MODERATE
H-CX-13-shamanic-enhancement.md,7,4,0,J2=24; sigma+mu=13; sigma-sopfr=7; sopfr=5,MODERATE
H-CX-136-eeg-merge-distance.md,7,4,0,n=6; phi/tau=0.5; sigma-phi=10; sopfr=5,MODERATE
H-CX-437-learning-maxwells-demon.md,7,4,0,J2-tau=20; phi^n=64; sigma-phi=10; sopfr=5,MODERATE
H-CX-154-neuron-ratio-e.md,7,3,1,1/e=0.368; sigma-phi=10; sopfr=5,MODERATE
H-CX-61-telescope-precognition.md,7,3,0,phi/tau=0.5; sigma/sigma-phi=1.2; sopfr=5,MODERATE
H-CX-115-kissing-number-12.md,7,2,0,sigma+mu=13; sigma=12,WEAK
H-EE-115-anthropic-arithmetic.md,7,2,2,n=6; sigma=12,WEAK
H-EE-97-meta-loss-required.md,7,2,2,1/(sigma-phi)=0.1; n=6,WEAK
H-CX-211-treatment-perfect-ratio.md,7,1,2,n=6,WEAK
H-CHIP-3-phi6-hardware.md,6,4,0,sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,MODERATE
H-CX-16-inhibition-noise-cancelling.md,6,4,0,1/(sigma-phi)=0.1; 1/e=0.368; ln(4/3)=0.288; phi/tau=0.5,MODERATE
H-CX-59-directional-precognition.md,6,4,0,phi/tau=0.5; sigma-phi=10; sigma-tau=8; sopfr=5,MODERATE
H-EE-103-success-rate-convergence.md,6,4,0,1/(sigma-phi)=0.1; ln(4/3)=0.288; n=6; sigma-phi=10,MODERATE
H-EE-4-phi6-knowledge-distillation.md,6,4,0,1/(sigma-phi)=0.1; phi/tau=0.5; sigma-tau=8; sopfr=5,MODERATE
143-blackhole-entropy.md,6,3,0,1/e=0.368; phi/tau=0.5; sigma-tau=8,MODERATE
277-feature-quality-threshold.md,6,3,1,1/e=0.368; 16/27_Betz; phi^n=64,MODERATE
300-mitosis-anomaly-hierarchy.md,6,3,0,n=6; phi/tau=0.5; sigma-tau=8,MODERATE
H-CX-149-direction-telepathy-ag.md,6,3,0,1/(sigma-phi)=0.1; ln(4/3)=0.288; sopfr=5,MODERATE
H-CX-179-p1-p2-triple-link.md,6,2,0,n=6; sigma=12,WEAK
H-CX-185-perfect-ratio-silicon.md,6,1,2,n=6,WEAK
H-CX-228-perfect-ratio-dual-freq.md,6,1,2,n=6,WEAK
H-EE-35-phi-gaussian-curvature.md,6,1,2,J2=24,WEAK
H-EE-51-efficient-church-turing.md,6,1,2,n=6,WEAK
H-EE-90-reader-is-r1.md,6,1,2,n=6,WEAK
H-CHIP-40-atp-synthase.md,6,0,3,,WEAK
362-crossmodal-tension.md,5,5,0,16/27_Betz; n=6; phi^n=64; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-CX-180-tau-chain-evolution.md,5,5,0,n=6; sigma+mu=13; sigma-phi=10; sigma-sopfr=7; sopfr=5,STRONG_CANDIDATE
144-hawking-radiation-curiosity.md,5,3,1,1/(sigma-phi)=0.1; sigma*n=72; sigma^2=144,MODERATE
299-mitosis-anomaly-specialization.md,5,3,0,16/27_Betz; sigma-tau=8; sopfr=5,MODERATE
H-CX-143-thc-dendrogram-restructure.md,5,3,0,ln(4/3)=0.288; sigma-phi=10; sigma^2=144,MODERATE
H-CX-452-class-difficulty-prediction.md,5,3,0,1/e=0.368; J2-tau=20; sigma-phi=10,MODERATE
074-optimal-theta.md,5,2,0,1/(sigma-phi)=0.1; sigma*sopfr=60,WEAK
H-CX-106-human-ai-confusion-match.md,5,2,0,sigma-phi=10; sopfr=5,WEAK
H-CX-107-cross-dimension-ph.md,5,2,0,phi^n=64; sopfr=5,WEAK
H-CX-76-ph-confusion-classifier.md,5,2,0,sigma-phi=10; sopfr=5,WEAK
002-golden-zone-universality.md,5,1,0,1/e=0.368,WEAK
H-CX-190-six-triple-uniqueness.md,5,1,1,n=6,WEAK
355-prediction-error-surprise.md,4,4,0,16/27_Betz; J2-tau=20; n=6; sigma-phi=10,MODERATE
H-CX-66-direction-topology.md,4,4,0,phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sopfr=5,MODERATE
004-boltzmann-inhibition-temperature.md,4,3,0,J2-tau=20; ln(4/3)=0.288; phi/tau=0.5,MODERATE
272-detach-design-principle.md,4,3,0,J2-tau=20; sigma-phi=10; sopfr=5,MODERATE
305-contrastive-anomaly-detection.md,4,3,0,16/27_Betz; J2=24; sopfr=5,MODERATE
H-CX-102-ph-regularization.md,4,3,0,1/(sigma-phi)=0.1; 1/e=0.368; sigma-phi=10,MODERATE
H-CX-105-sub-epoch-transition.md,4,3,0,1/(sigma-phi)=0.1; ln(4/3)=0.288; phi/tau=0.5,MODERATE
H-CX-150-silent-consensus.md,4,3,0,phi/tau=0.5; sigma-phi=10; sopfr=5,MODERATE
H-CX-177-dolphin-whistle-stress-reduction.md,4,3,0,n=6; sigma-tau=8; sopfr=5,MODERATE
H-CX-11-tda-euler-characteristic.md,4,2,0,sigma-mu=11; sopfr=5,WEAK
H-CX-25-mi-efficiency-fingerprint-correlation.md,4,2,0,1/e=0.368; sigma-phi=10,WEAK
H-CX-81-aberration-merge-alignment.md,4,2,0,phi/tau=0.5; sigma*sopfr=60,WEAK
H-CX-91-knn-confusion.md,4,2,0,sigma-phi=10; sopfr=5,WEAK
168-quantum-superposition-coefficient.md,4,1,0,1/e=0.368,WEAK
H-CX-449-arch-invariance-cnn.md,4,1,0,sopfr=5,WEAK
H-CX-226-theta-6hz-meditation-telepathy.md,4,0,2,,WEAK
H-CX-263-ramanujan-tau-perfect.md,4,0,2,,WEAK
268-difficulty-axis-dominance.md,3,3,0,sigma-phi=10; sigma-tau=8; sopfr=5,MODERATE
H-CX-6-neurochemistry-map.md,3,3,0,16/27_Betz; n=6; phi/tau=0.5,MODERATE
H-EE-18-boltzmann-gate.md,3,3,0,1/e=0.368; sigma*(sigma-phi)=120; sigma=12,MODERATE
269-force-direction.md,3,2,0,sigma-phi=10; sopfr=5,WEAK
304-matrix-resolution-expansion.md,3,2,0,16/27_Betz; sopfr=5,WEAK
H-CX-139-eeg-phase-transition.md,3,2,0,1/(sigma-phi)=0.1; sopfr=5,WEAK
H-CX-98-ph-early-stopping.md,3,2,0,sigma-phi=10; sopfr=5,WEAK
336-next-steps-roadmap.md,3,1,0,sopfr=5,WEAK
H-EE-36-fisher-flat-at-r1.md,3,1,1,n=6,WEAK
005-one-third-law.md,2,2,0,sigma-tau=8; sopfr=5,WEAK
181-transcendence-is-time.md,2,2,0,1/(sigma-phi)=0.1; ln(4/3)=0.288,WEAK
287-tension-anomaly-detector.md,2,2,0,1/(sigma-phi)=0.1; sopfr=5,WEAK
361-conscious-llm-purefield-ffn.md,2,2,0,16/27_Betz; sopfr=5,WEAK
H-CX-137-eeg-tension-correlation.md,2,2,0,16/27_Betz; sigma-phi=10,WEAK
H-CX-140-eeg-dendrogram.md,2,2,0,phi/tau=0.5; sigma-phi=10,WEAK
H-CX-306-sixty-plus-discoveries.md,2,2,0,n=6; sigma*sopfr=60,WEAK
H-CX-77-topological-fingerprint.md,2,2,0,phi^n=64; sopfr=5,WEAK
H-CX-86-zero-shot-ph.md,2,2,0,phi/tau=0.5; sopfr=5,WEAK
344-mitosis-detach-synergy.md,2,1,0,sigma-phi=10,WEAK
H-CX-111-13th-observer.md,2,1,0,sigma=12,WEAK
H-CX-132-dolphin-40hz-consciousness.md,2,1,0,n=6,WEAK
H-CX-170-cross-dataset-r1-origin.md,2,1,0,sigma-phi=10,WEAK
H-CX-176-human-dolphin-gamma-sync.md,2,1,0,n=6,WEAK
H-CX-206-treatment-antiphase-gamma.md,2,1,0,n=6,WEAK
H-CX-225-binaural-40hz-telepathy.md,2,1,0,n=6,WEAK
H-CX-78-synergy-scaling.md,2,1,0,1/e=0.368,WEAK
H-CX-79-topological-tension-conservation.md,2,1,0,1/(sigma-phi)=0.1,WEAK
003-cusp-catastrophe-equivalence.md,1,1,0,sigma-tau=8,WEAK
137-np-heuristic.md,1,1,0,sigma*tau=48,WEAK
142-halting-problem.md,1,1,0,1/(sigma-phi)=0.1,WEAK
278-tension-information-base-accuracy.md,1,1,0,1/(sigma-phi)=0.1,WEAK
283-tension-nonlinear-threshold.md,1,1,0,sopfr=5,WEAK
H-CX-109-consciousness-universality.md,1,1,0,sopfr=5,WEAK
H-CX-114-ophiuchus-metacognition.md,1,1,0,sigma=12,WEAK
H-CX-133-whistle-ratio-golden-zone.md,1,1,0,ln(4/3)=0.288,WEAK
H-CX-135-dolphin-neuron-tau4.md,1,1,0,n=6,WEAK
H-CX-171-h0-learnability-extended.md,1,1,0,n=6,WEAK
H-CX-173-dendrogram-fixation-step.md,1,1,0,1/(sigma-phi)=0.1,WEAK
H-CX-174-dolphin-therapy-frequency.md,1,1,0,sopfr=5,WEAK
H-CX-197-dolphin-sonar-brainwave-shift.md,1,1,0,sigma=12,WEAK
H-CX-199-dolphin-gamma-376-percent.md,1,1,0,1/(sigma-phi)=0.1,WEAK
H-CX-204-dolphin-beat-frequency-alpha.md,1,1,0,n=6,WEAK
H-CX-205-dolphin-freq-ph-overload.md,1,1,0,1/(sigma-phi)=0.1,WEAK
H-CX-207-treatment-gradual-exposure.md,1,1,0,1/(sigma-phi)=0.1,WEAK
H-CX-209-treatment-alpha-induction.md,1,1,0,n=6,WEAK
H-CX-227-13hz-observer-mode.md,1,1,0,n=6,WEAK
H-CX-29-telepathy-tension-transfer.md,1,1,0,sopfr=5,WEAK
H-CX-80-precognition-orthogonality.md,1,1,0,sopfr=5,WEAK
H-CX-82-epoch1-confusion-map.md,1,1,0,16/27_Betz,WEAK
H-CX-84-conservation-synergy-condition.md,1,1,0,1/(sigma-phi)=0.1,WEAK
H-CX-87-ph-curriculum.md,1,1,0,J2-tau=20,WEAK
H-CX-90-epoch1-phase-transition.md,1,1,0,sopfr=5,WEAK
H-CX-92-dendrogram-depth-difficulty.md,1,1,0,phi/tau=0.5,WEAK
H-CX-96-weight-delta-trigger.md,1,1,0,sopfr=5,WEAK
H-EE-38-inference-complexity-bound.md,1,1,0,sigma-tau=8,WEAK
141-information-bottleneck.md,0,0,0,,NO_MATCH
192-present-moment-fixed-point.md,0,0,0,,NO_MATCH
282-tension-high-accuracy-only.md,0,0,0,,NO_MATCH
H-CX-100-ph-learning-rate-guide.md,0,0,0,,NO_MATCH
H-CX-104-ph-adversarial-vulnerability.md,0,0,0,,NO_MATCH
H-CX-108-telepathy-protocol.md,0,0,0,,NO_MATCH
H-CX-122-ph-tau-invariance.md,0,0,0,,NO_MATCH
H-CX-124-ph-stability-analog.md,0,0,0,,NO_MATCH
H-CX-125-non-shared-data-ph.md,0,0,0,,NO_MATCH
H-CX-126-no-communication-theorem.md,0,0,0,,NO_MATCH
H-CX-127-ph-entanglement.md,0,0,0,,NO_MATCH
H-CX-128-kolmogorov-ph.md,0,0,0,,NO_MATCH
H-CX-129-topological-bell-inequality.md,0,0,0,,NO_MATCH
H-CX-130-dolphin-signature-whistle-ph.md,0,0,0,,NO_MATCH
H-CX-131-click-interval-merge-distance.md,0,0,0,,NO_MATCH
H-CX-134-echolocation-biological-ph.md,0,0,0,,NO_MATCH
H-CX-138-eeg-precognition.md,0,0,0,,NO_MATCH
H-CX-141-eeg-telepathy-realtime.md,0,0,0,,NO_MATCH
H-CX-157-silent-consensus-origin.md,0,0,0,,NO_MATCH
H-CX-158-cross-dataset-ph-transfer.md,0,0,0,,NO_MATCH
H-CX-159-tension-resonance-robustness.md,0,0,0,,NO_MATCH
H-CX-160-ph-learnability-index.md,0,0,0,,NO_MATCH
H-CX-172-resonance-consensus-unified.md,0,0,0,,NO_MATCH
H-CX-175-dolphin-click-healing.md,0,0,0,,NO_MATCH
H-CX-178-dolphin-self-healing-tension.md,0,0,0,,NO_MATCH
H-CX-182-consciousness-constants.md,0,0,0,,NO_MATCH
H-CX-198-dolphin-click-ultrasound-tissue.md,0,0,0,,NO_MATCH
H-CX-200-dolphin-bilateral-sync.md,0,0,0,,NO_MATCH
H-CX-201-dolphin-depression-tension.md,0,0,0,,NO_MATCH
H-CX-202-dolphin-sonar-inspired-medical.md,0,0,0,,NO_MATCH
H-CX-203-dolphin-cerebral-palsy-eeg.md,0,0,0,,NO_MATCH
H-CX-208-dolphin-confusion-merge-change.md,0,0,0,,NO_MATCH
H-CX-210-sensitivity-baseline-h0.md,0,0,0,,NO_MATCH
H-CX-212-tinnitus-h1-loop.md,0,0,0,,NO_MATCH
H-CX-229-smr-tacs-body-awareness.md,0,0,0,,NO_MATCH
H-CX-230-dolphin-sound-ph-sync.md,0,0,0,,NO_MATCH
H-CX-262-euler-product-truncation.md,0,0,0,,NO_MATCH
H-CX-83-orthogonality-topology-fusion.md,0,0,0,,NO_MATCH
H-CX-89-data-intrinsic-precognition.md,0,0,0,,NO_MATCH
H-CX-93-confusion-eigenstructure.md,0,0,0,,NO_MATCH
H-CX-94-confusion-as-metric.md,0,0,0,,NO_MATCH
H-CX-95-generalization-predictor.md,0,0,0,,NO_MATCH
H-CX-97-cross-dataset-hierarchy-transfer.md,0,0,0,,NO_MATCH
H-CX-99-ph-optimal-checkpoint.md,0,0,0,,NO_MATCH
H-EE-52-bekenstein-bound.md,0,0,0,,NO_MATCH
